,count,mean,std,min,25%,50%,75%,max
Unnamed: 109,6257.0,18091.207447658624,2935.301485731506,7484.0,15910.0,17991.0,20562.0,27254.0
Unnamed: 110,6257.0,31387.998561610995,2603.2719877794684,9269.0,31057.0,32154.0,32628.0,37499.0
Unnamed: 111,6257.0,22922.450855042352,5681.271665797275,4246.0,18760.0,21581.0,25607.0,36234.0
Unnamed: 112,6257.0,2448.970273293911,151.64842129543868,668.0,2366.0,2400.0,2458.0,3207.0
Unnamed: 113,6257.0,40006.81524692345,5989.490778484751,10650.0,35354.0,39152.0,46422.0,51550.0
Unnamed: 114,6257.0,3768.1315326833947,498.92780319910344,2971.0,3518.0,3575.0,3804.0,5989.0
Unnamed: 115,6257.0,21238.01310532204,17444.690614621166,2101.0,6754.0,7823.0,44741.0,51147.0
Unnamed: 116,6257.0,3922.194661978584,1050.1767672499254,2389.0,3164.0,3503.0,4392.0,10313.0
Unnamed: 117,6257.0,44400.74620425124,2775.845553794118,5087.0,43178.0,45073.0,46200.0,51162.0
Unnamed: 118,6257.0,40627.63544829791,6000.161895560085,8987.0,35966.0,39766.0,47042.0,52234.0
Unnamed: 119,6257.0,2730.1791593415373,328.80522839956,1064.0,2553.0,2607.0,2792.0,4320.0
Unnamed: 120,6257.0,39900.23749400671,5993.170285032007,11327.0,35254.0,38981.0,46306.0,51456.0
Unnamed: 121,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 122,6257.0,1957.56336902669,1239.4469647034518,1494.0,1710.0,1742.0,1764.0,23746.0
Unnamed: 123,6257.0,3444.5635288476906,148.25250792382454,1681.0,3398.0,3416.0,3438.0,4352.0
Unnamed: 124,6257.0,5026.0632891161895,1691.3211565594409,3029.0,3840.0,4514.0,5460.0,12979.0
Unnamed: 125,6257.0,7331.050982899153,2885.42789550238,2012.0,4269.0,8648.0,9393.0,12965.0
Unnamed: 126,6257.0,22627.949017100847,5646.02661972037,7374.0,17984.0,23442.0,26589.0,34616.0
Unnamed: 127,6257.0,6675.224069042672,2406.258537496246,2461.0,3712.0,7651.0,8485.0,11864.0
Unnamed: 128,6257.0,3400.774013105322,550.0141067788862,1748.0,3020.0,3240.0,3530.0,6029.0
Unnamed: 129,6257.0,332.7064088221192,870.9244290986289,0.0,0.0,0.0,0.0,4158.0
Unnamed: 130,6257.0,35530.082147994246,18886.150516243764,1892.0,9581.0,48863.0,49838.0,55318.0
Unnamed: 131,6257.0,49276.728943583184,1633.722815112445,10034.0,48891.0,49410.0,49880.0,54654.0
Unnamed: 132,6257.0,24766.548345852643,19011.211017491838,2435.0,6826.0,15612.0,47780.0,53714.0
Unnamed: 133,6257.0,2127.7348569602045,343.8128722153583,971.0,1932.0,1990.0,2203.0,4045.0
Unnamed: 134,6257.0,6301.227425283682,3781.8085947100303,208.0,434.0,8206.0,9037.0,10399.0
Unnamed: 135,6257.0,6802.117788077353,3088.7106648765352,1674.0,3387.0,8275.0,9021.0,13123.0
Unnamed: 136,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 137,6257.0,48416.58606360876,1449.0292424616778,12026.0,48112.0,48608.0,49086.0,56434.0
Unnamed: 138,6257.0,28477.72686591018,3878.1137707849457,7750.0,25599.0,28321.0,31276.0,55229.0
Unnamed: 139,6257.0,47504.4671567844,3239.8495189269256,4604.0,46677.0,48302.0,49396.0,54796.0
Unnamed: 140,6257.0,35576.68291513505,17339.58274488661,2083.0,19357.0,45325.0,47644.0,54282.0
Unnamed: 141,6257.0,46157.57487613872,1329.263647233752,11392.0,45465.0,46282.0,46874.0,51150.0
Unnamed: 142,6257.0,3631.9049065047147,202.42600097977072,2397.0,3497.0,3556.0,3754.0,5769.0
Unnamed: 143,6257.0,6925.8580789515745,4109.530358128773,2188.0,4169.0,5821.0,8043.0,25117.0
Unnamed: 144,6257.0,3470.3424964040273,339.7365406376983,1813.0,3280.0,3330.0,3524.0,5284.0
Unnamed: 145,6257.0,28904.464759469396,4038.21925874838,2851.0,27116.0,29717.0,31724.0,36252.0
Unnamed: 146,6257.0,26641.03611954611,19004.721915739803,2447.0,8708.0,17525.0,49658.0,59801.0
Unnamed: 147,6257.0,2277.588301102765,1055.2175045986492,648.0,770.0,2980.0,3038.0,3522.0
Unnamed: 148,6257.0,48203.338660700014,1929.7452636317714,9744.0,47193.0,48338.0,49530.0,55106.0
Unnamed: 149,6257.0,48435.4342336583,1240.6255619792432,11195.0,47902.0,48422.0,48940.0,55492.0
