,train_loss,train_rse,train_mae,train_mse,train_mape,train_rmse,val_loss,val_rse,val_mae,val_mse,val_mape,val_rmse
0,0.008818,1.94644,0.066269,0.008818,587781.045021,0.093749,0.011384,1.868572,0.062656,0.011384,519337.963235,0.10393
1,0.006931,1.528596,0.052911,0.006931,449473.095604,0.083091,0.009752,1.538228,0.051168,0.009752,396551.102941,0.095373
2,0.005794,1.273213,0.044238,0.005794,356503.369968,0.075959,0.008705,1.326583,0.042874,0.008705,316858.601103,0.089389
3,0.005089,1.114978,0.038569,0.005089,297952.920021,0.071177,0.008014,1.187244,0.037157,0.008014,268305.037684,0.085174
