,train_loss,train_rse,train_mae,train_mse,train_mape,train_rmse,val_loss,val_rse,val_mae,val_mse,val_mape,val_rmse
0,0.035629,0.097727,0.1295,0.035629,626667.691636,0.176757,0.020356,0.05759,0.09118,0.020356,288547.40625,0.14267
1,0.019955,0.054729,0.09293,0.019955,275735.962546,0.141245,0.018505,0.052353,0.085781,0.018505,261357.989583,0.136029
2,0.018616,0.05105,0.088819,0.018616,215078.524357,0.136424,0.017326,0.049019,0.083326,0.017326,335451.802083,0.131625
3,0.017459,0.047873,0.085551,0.017459,179650.726333,0.132117,0.016383,0.046351,0.080703,0.016383,249618.956597,0.127993
4,0.016566,0.045426,0.083093,0.016566,157687.835708,0.128694,0.015613,0.044173,0.078796,0.015613,221779.904514,0.124949
5,0.015856,0.043483,0.080967,0.015856,141713.080653,0.125909,0.014967,0.042344,0.076851,0.014967,201522.579861,0.122335
6,0.015318,0.042007,0.079218,0.015318,128614.33812,0.123757,0.014567,0.041212,0.076889,0.014567,297967.256944,0.120689
