run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.8996934294700623,0.030165838077664375,0.005381901748478413,290488.46875,0.07336144894361496
1,3.0,0.9000527858734131,0.03026244416832924,0.005384051240980625,291707.71875,0.07337609678506851
2,3.0,0.900326132774353,0.0302523635327816,0.00538568664342165,291932.90625,0.07338723540306091
3,3.0,0.8972377181053162,0.028984123840928078,0.005367211997509003,291897.5,0.07326126098632812
4,3.0,0.900332510471344,0.030316278338432312,0.005385724827647209,292548.3125,0.0733874961733818
5,6.0,0.8822453022003174,0.029591942206025124,0.005280166398733854,282483.0,0.07266475260257721
6,6.0,0.8771721720695496,0.02994808554649353,0.005249803885817528,292994.5625,0.07245553284883499
7,6.0,0.8865346908569336,0.029456019401550293,0.005305837839841843,272674.1875,0.07284118235111237
8,6.0,0.8874843120574951,0.029219653457403183,0.005311521235853434,275939.34375,0.07288018614053726
9,6.0,0.8864603638648987,0.029907621443271637,0.005305393133312464,289053.875,0.07283812761306763
10,12.0,0.8036777973175049,0.025866705924272537,0.004815030377358198,221658.578125,0.0693904235959053
11,12.0,0.804627537727356,0.027255764231085777,0.004820720758289099,248359.859375,0.06943140923976898
12,12.0,0.7758808135986328,0.027827734127640724,0.004648491740226746,289449.6875,0.06817984580993652
13,12.0,0.7701311111450195,0.0275025125592947,0.004614043980836868,274275.3125,0.06792675703763962
14,12.0,0.7999712228775024,0.02670884318649769,0.004792823456227779,255977.53125,0.06923022121191025
15,24.0,0.6876180171966553,0.025116300210356712,0.004131746478378773,248809.078125,0.06427866220474243
16,24.0,0.7163458466529846,0.028706569224596024,0.004304366186261177,308076.75,0.06560766696929932
17,24.0,0.6722972393035889,0.027539921924471855,0.004039687570184469,310624.65625,0.06355853378772736
18,24.0,0.6732089519500732,0.025346025824546814,0.0040451656095683575,223394.390625,0.06360161304473877
19,24.0,0.6588029861450195,0.0245582927018404,0.0039586033672094345,215507.03125,0.06291743367910385
