run,seq_len,rse,mae,mse,mape,rmse
0,3.0,0.6006488800048828,0.08403501659631729,0.022578541189432144,264310.46875,0.15026158094406128
1,3.0,0.6035839915275574,0.08355456590652466,0.02268887311220169,258850.1875,0.15062826871871948
2,3.0,0.598741888999939,0.0843256488442421,0.02250685729086399,271277.46875,0.15002284944057465
3,3.0,0.5939813852310181,0.0830300971865654,0.022327909246087074,257183.953125,0.14942526817321777
4,3.0,0.5978764891624451,0.0838472917675972,0.022474326193332672,264756.28125,0.14991439878940582
5,6.0,0.5212180614471436,0.0772579088807106,0.01959681324660778,243146.890625,0.13998861610889435
6,6.0,0.5408403873443604,0.0780290737748146,0.020334575325250626,235342.109375,0.14259935915470123
7,6.0,0.5350199341773987,0.07894390821456909,0.02011573687195778,252333.796875,0.1418299525976181
8,6.0,0.5522909760475159,0.07886913418769836,0.020765095949172974,253467.171875,0.14410099387168884
9,6.0,0.5409701466560364,0.07833666354417801,0.02033945545554161,244978.96875,0.14261646568775177
10,12.0,0.4281091094017029,0.06420250236988068,0.016103608533740044,150600.109375,0.12689998745918274
11,12.0,0.43383896350860596,0.06581897288560867,0.016319140791893005,166481.875,0.12774638831615448
12,12.0,0.4128417670726776,0.06442847847938538,0.01552931685000658,151012.484375,0.12461668252944946
13,12.0,0.43518146872520447,0.06823071837425232,0.016369640827178955,173519.34375,0.12794390320777893
14,12.0,0.44874927401542664,0.06625396013259888,0.01688000187277794,180652.765625,0.12992306053638458
15,24.0,0.4004210829734802,0.061432577669620514,0.015075376257300377,152423.078125,0.12278182059526443
16,24.0,0.38613665103912354,0.060990843921899796,0.014537584967911243,127228.03125,0.12057191133499146
17,24.0,0.37694495916366577,0.05802072212100029,0.014191527850925922,127468.15625,0.11912819743156433
18,24.0,0.3777545392513275,0.0577278733253479,0.014222007244825363,121181.234375,0.11925605684518814
19,24.0,0.0,0.0,0.0,0.0,0.0
